Time TemSup TemRet Out On
42082.73542 32.20458374 28.21343384 6.252282715 0
42082.7375 32.27849731 28.25847778 6.129266357 0
42082.73958 32.34850464 28.30315552 6.012994385 0
42082.74167 32.41350708 28.34664307 5.905389404 0
42082.74375 32.47240601 28.38823853 5.808404541 0
42082.74583 32.5241333 28.42717896 5.723901367 0
42082.74792 32.56755981 28.46279297 5.65380249 0
42082.75 32.60158691 28.49434814 5.6 0
42082.75208 32.62902222 28.52120361 5.554986572 0
42082.75417 32.65471802 28.54293213 5.510003662 0
42082.75625 32.67980347 28.56047974 5.464990234 0
42082.75833 32.70473633 28.5753418 5.420007324 0
42082.76042 32.72966919 28.58883057 5.374993896 0
42082.7625 32.75454102 28.60158691 5.330010986 0
42082.76458 32.77919922 28.61400757 5.284997559 0
42082.76667 32.80355225 28.6262146 5.240014648 0
42082.76875 32.82750854 28.63826904 5.195001221 0
42082.77083 32.85097656 28.65014038 5.149987793 0
42082.77292 32.87389526 28.66170654 5.105004883 0
42082.775 32.89623413 28.67302856 5.059991455 0
42082.77708 32.91787109 28.68425903 5.015008545 0
42082.77778 32.92492065 28.68798218 4.999993896 0
42082.77917 37.99105225 28.85866699 4.969995117 0
42082.78125 38.44683228 30.23040161 4.925012207 0
42082.78333 37.41973267 32.07735596 4.879998779 0
42082.78542 36.0236145 32.77398071 4.834985352 0
42082.7875 34.60411987 32.44716797 4.790002441 0
42082.78958 33.31716309 31.65651855 4.744989014 0
42082.79167 32.30080566 30.73934326 4.700006104 0
42082.79375 32.30080566 30.73934326 4.654992676 0
42082.79583 32.30080566 30.73934326 4.610009766 0
42082.79792 32.30080566 30.73934326 4.564996338 0
42082.8 32.30080566 30.73934326 4.520013428 0
42082.80208 32.30080566 30.73934326 4.475 0
42082.80365 32.30080566 30.73934326 4.441064453 0
42082.80417 32.30080566 30.73934326 4.429986572 0
42082.80625 32.29815063 30.73711548 4.385003662 0
42082.80833 32.27199707 30.71514282 4.339990234 0
42082.81042 31.96160278 30.45247803 4.295007324 0
42082.81172 31.57839355 30.12627563 4.266931152 0
42082.8125 31.7706543 25.7373291 4.249993896 0
42082.81458 29.93319092 21.35558472 4.205010986 0
42082.81667 29.26036987 20.92849121 4.159997559 0
42082.81875 29.10302124 20.74248657 4.115014648 0
42082.82083 29.11580811 20.52886353 4.070001221 0
42082.82292 29.16500244 20.29509888 4.024987793 0
42082.825 29.2078186 20.07613525 3.980004883 0
42082.82708 29.24874268 19.88842163 3.934991455 0
42082.82917 29.28887329 19.73195801 3.890008545 0
42082.83125 29.32857666 19.60518799 3.844995117 0
42082.83333 29.36794434 19.50634155 3.800012207 0
42082.83542 29.4057251 19.43328247 3.757226563 0
42082.8375 29.44020996 19.38329468 3.718743896 0
42082.83958 29.47130737 19.3532959 3.684228516 0
42082.84167 29.49920044 19.34008179 3.653344727 0
42082.84375 29.52419434 19.34041748 3.625787354 0
42082.84583 29.54656372 19.35140381 3.601251221 0
42082.84792 29.56646118 19.37041626 3.579431152 0
42082.85 29.58419189 19.39525757 3.559991455 0
42082.85208 29.59993896 19.42409668 3.542657471 0
42082.85417 29.61403809 19.45546875 3.527093506 0
42082.85625 29.62676392 19.48818359 3.512963867 0
42082.85833 29.6383606 19.52160034 3.499993896 0
42082.86042 29.6491333 19.55513916 3.487878418 0
42082.8625 29.65935669 19.5883728 3.476251221 0
42082.86458 29.66930542 19.62111816 3.464837646 0
42082.86667 29.67922363 19.65322266 3.45333252 0
42082.86875 29.68935547 19.68468628 3.441400146 0
42082.87083 29.7000061 19.715448 3.428735352 0
42082.87292 29.71138916 19.74559937 3.415063477 0
42082.875 29.7237793 19.77514038 3.399987793 0
42082.87708 29.73592529 19.80410156 3.385858154 0
42082.87917 29.74602661 19.83245239 3.374749756 0
42082.88125 29.75405273 19.86013184 3.366296387 0
42082.88333 29.76012573 19.88713989 3.360009766 0
42082.88542 29.76461182 19.91344604 3.355462646 0
42082.8875 29.76781616 19.93908081 3.352258301 0
42082.88958 29.77007446 19.96401367 3.349908447 0
42082.89081 29.77095947 19.97835693 3.348748779 0
42082.89093 20.73650513 19.97973022 3.348657227 0
42082.89093 20.73650513 19.97973022 3.348657227 1
42082.89167 25.86730347 19.98983154 3.34798584 1
42082.89375 30.44844971 20.02565918 3.34609375 1
42082.89436 30.39815674 20.0359436 3.345452881 1
42082.89583 30.18154297 20.05687866 3.343743896 1
42082.89792 29.98592529 20.07720337 3.340539551 1
42082.9 29.91045532 20.09157715 3.335992432 1
42082.90208 29.88637695 20.10518799 3.329705811 1
42082.90417 29.88094482 20.12044678 3.321252441 1
42082.90625 29.88250122 20.13768921 3.310144043 1
42082.90833 29.88753662 20.15639648 3.296014404 1
42082.91042 29.89550171 20.17592773 3.278344727 1
42082.9125 29.90664063 20.19594727 3.256738281 1
42082.91458 29.92147217 20.21624146 3.230767822 1
42082.91667 29.94051514 20.23674927 3.200006104 1
42082.91875 29.96312866 20.25768433 3.165704346 1
42082.92083 29.98818359 20.27926025 3.129541016 1
42082.92292 30.01552734 20.30150757 3.091638184 1
42082.925 30.04500732 20.32445679 3.05211792 1
42082.92708 30.07644043 20.34798584 3.011102295 1
42082.92763 30.0850769 20.35427246 2.999993896 1
42082.92917 30.10964355 20.37197266 2.968713379 1
42082.93125 30.14443359 20.39638672 2.925073242 1
42082.93333 30.18062744 20.42107544 2.880334473 1
42082.93542 30.21767578 20.44594727 2.834558105 1
42082.9375 30.24523315 20.47097168 2.787927246 1
42082.93958 30.27706299 20.49611816 2.74050293 1
42082.94167 30.31359253 20.52138672 2.692468262 1
42082.94375 30.3522583 20.54671631 2.643945313 1
42082.94583 30.39180908 20.57207642 2.594995117 1
42082.94792 30.43175659 20.59740601 2.545770264 1
42082.95 30.47185669 20.62267456 2.49642334 1
42082.95208 30.51201782 20.64782104 2.447045898 1
42082.95417 30.55205688 20.67290649 2.39776001 1
42082.95625 30.59194336 20.69786987 2.348718262 1
42082.95833 30.63152466 20.72268066 2.300012207 1
42082.96042 30.67104492 20.7473999 2.251245117 1
42082.9625 30.71087036 20.77208862 2.202050781 1
42082.96458 30.75103149 20.79677734 2.152429199 1
42082.96667 30.79140625 20.82146606 2.102471924 1
42082.96875 30.83202515 20.8461853 2.052209473 1
42082.97083 30.87279663 20.87090454 2.001702881 1
42082.9709 30.87420044 20.87172852 1.999993896 1
42082.97292 30.9137207 20.89559326 1.951013184 1
42082.975 30.95473633 20.92028198 1.900201416 1
42082.97708 30.99578247 20.94490967 1.849298096 1
42082.97917 31.03682861 20.96950684 1.798394775 1
42082.98125 31.07781372 20.99404297 1.747521973 1
42082.98333 31.11873779 21.01848755 1.696710205 1
42082.98542 31.15950928 21.04287109 1.646051025 1
42082.9875 31.20012817 21.0671936 1.595574951 1
42082.98958 31.24050293 21.09142456 1.545373535 1
42082.99167 31.28060303 21.11556396 1.495477295 1
42082.99375 31.32042847 21.13961182 1.445916748 1
42082.99578 31.3588501 21.16292725 1.398095703 1
42082.99578 31.3588501 21.16292725 1.398095703 0
42082.99583 31.35820923 21.1635376 1.396783447 0
42082.99589 31.35268555 21.1642395 1.395379639 0
42082.9959 31.35527954 21.16430054 1.395196533 0
42082.99792 31.39803467 21.18734131 1.348138428 0
42083 31.43688354 21.21102295 1.300012207 0
42083.00208 31.47484741 21.23442993 1.252862549 0
42083.00417 31.51162109 21.25734863 1.207147217 0
42083.00625 31.54726563 21.27974854 1.162835693 0
42083.00833 31.58178101 21.30159912 1.119897461 0
42083.01042 31.61519775 21.32299194 1.078302002 0
42083.0125 31.64751587 21.34395752 1.038018799 0
42083.01458 31.67879639 21.36461792 0.999047852 0
42083.01667 31.70903931 21.38497314 0.961358643 0
42083.01875 31.73824463 21.40511475 0.924951172 0
42083.02083 31.76647339 21.42504272 0.889733887 0
42083.02292 31.79372559 21.4447876 0.855737305 0
42083.025 31.82003174 21.46431885 0.822900391 0
42083.02708 31.84539185 21.48366699 0.791253662 0
42083.02917 31.86983643 21.50286255 0.760736084 0
42083.03125 31.89336548 21.52190552 0.731317139 0
42083.03333 31.91604004 21.5407959 0.702966309 0
42083.03542 31.93786011 21.55962524 0.675683594 0
42083.0375 31.9588562 21.57833252 0.649468994 0
42083.03958 31.97902832 21.59694824 0.624230957 0
42083.04167 31.99837646 21.61547241 0.6 0
42083.04375 32.0156189 21.63375244 0.578729248 0
42083.04583 32.02941284 21.65169678 0.56206665 0
42083.04792 32.03988037 21.66918335 0.549584961 0
42083.05 32.04735718 21.68612061 0.540734863 0
42083.05208 32.05223999 21.70247803 0.535058594 0
