time	MetEireann	Belturbet	Clones
840	3.5	4.493333333	9.8
843	7.4	7.156666667	10.4
846	6.2	6.866666667	10.7
849	4.2	5.438333333	10.7
852	4.2	4.62	11.4
855	1.6	3.083333333	8.7
858	1.9	3.851666667	7.8
861	2.3	3.598333333	7.6
864	3.8	4.226666667	8.4
867	5.8	5.575	7.9
870	5.2	5.678333333	7
873	4.6	5.251666667	5.8
876	3.9	4.843333333	3.8
879	4.1	4.41	1.3
882	4.6	4.638333333	0.9
885	5.4	4.891666667	0.4
888	6.7	6.266666667	4.8
891	8	7.698333333	5
894	8.1	8.186666667	6.7
897	4.7	5.773333333	9
900	3	4.326666667	10.1
903	2.1	3.26	9.9
906	3.3	4.01	9.4
909	0.3	3.4	9.2
912	2	3.278333333	10.6
915	2.5	4.808333333	10.4
918	2	3.85	7.5
921	3	4.276666667	4.7
924	2.5	4.466666667	2.6
927	2.1	3.403333333	3.9
930	2.3	3.651666667	3.9
933	2.8	4.031666667	4.5
936	4.2	5.195	6.4
939	5.6	6.793333333	7.9
942	5.9	6.933333333	6.8
945	5.3	6.68	3.2
948	4.9	6.46	4
951	4.2	6.065	2.6
954	3.4	5.42	2.4
957	3.1	4.925	2.6
960	3	4.763333333	4.6
963	3.2	5.073333333	5.3
966	2.4	4.156666667	4.1
969	-0.1	2.73	3.2
972	1.7	2.106666667	1.6
975	2.8	2.971666667	1.7
978	3.5	3.405	1.3
981	3.4	3.851666667	1.5
984	4.7	4.095	1.8
987	5.2	5.083333333	2.2
990	5.2	5.655	1.4
993	4.7	5.096666667	0.5
996	4.6	5.011666667	-0.7
999	4.5	4.666666667	0.6
1002	4.1	4.458333333	0.7
1005	3.4	4.413333333	0.9
1008	5.5	5.143333333	5.8
1011	7	7.43	6.8
1014	6.7	7.018333333	3.5
1017	5.2	5.85	1.2
1020	5.9	5.571666667	-0.4
1023	6.5	6.025	-1.9
1026	6	6.153333333	-1.5
1029	5.7	5.83	-2
1032	6.6	6.44	0
1035	7.6	9.091666667	3.3
1038	7	8.035	2.9
1041	5.7	6.295	1.2
1044	4.4	4.883333333	0.3
1047	4.3	4.326666667	-1.1
1050	4.4	4.278333333	-2.2
1053	5.1	4.441666667	-3.6
1056	7.2	6.548333333	4.4
1059	7.8	8.508333333	6.9
1062	7.4	8.358333333	3.7
1065	3.6	5.48	0.6
1068	2.7	3.943333333	-0.9
1071	3.6	5.023333333	-1.5
1074	1.7	3.306666667	-3.6
1077	4.3	3.918333333	-3.9
1080	7.3	6.735	0.4
1083	7.5	7.405	5.2
1086	6.5	6.143333333	2.7
1089	6.5	6.206666667	-0.1
1092	6.2	6.56	-1.5
1095	5.1	5.385	-1.9
1098	3.5	4.276666667	-3.4
1101	2.3	3.266666667	-3
1104	4.1	4.561666667	2.5
1107	7.1	7.02	3.4
1110	3.4	5.406666667	0.9
1113	2.5	3.621666667	-1
1116	0.5	2.221666667	-3.4
1119	1	1.411666667	-4.2
1122	1.9	2.195	-5.1
1125	3	2.625	-4.8
1128	5.8	4.641666667	0.8
1131	7.8	7.446666667	3.1
1134	8.1	8.081666667	2.5
1137	7.6	7.375	0.8
1140	7.3	7.206666667	-0.7
1143	8.3	7.503333333	-3.1
1146	8.8	8.15	-3.6
1149	9.1	8.518333333	-1.4
1152	10.4	9.346666667	4.1
1155	12.8	11.16666667	4.1
1158	11.4	11.15333333	2.5
1161	9.4	9.501666667	0.2
1164	9.8	9.206666667	0.3
1167	8.9	8.981666667	0.6
1170	7.7	7.523333333	1.2
1173	5.6	6.045	3.7
1176	7	6.538333333	5.8
1179	6	7.436666667	8.2
1182	6.3	8.46	6.2
1185	3.4	5.268333333	5.2
1188	2.4	3.31	3.9
1191	1.3	2.183333333	2
1194	0.8	1.565	3
1197	0.8	1.268333333	3
1200	4.8	3.24	5.3
1203	6.7	6.69	6.4
1206	5.4	6.91	3.6
1209	2.1	3.933333333	1.2
1212	0.8	2.345	-0.2
1215	0.9	2.166666667	-2.2
1218	0.5	1.838333333	-0.5
1221	0.3	1.661666667	-1.7
1224	3.3	3.695	1
1227	5.6	6.353333333	6.2
1230	3.1	5.231666667	4.2
1233	2.5	3.598333333	3.4
1236	1.8	2.535	3
1239	2	2.006666667	2.7
1242	3	1.645	3.2
1245	3	2.738333333	3.4
1248	6	4.448333333	6.2
1251	9.6	9.063333333	6.4
1254	6.5	8.388333333	5.4
1257	2.9	4.143333333	4.8
1260	2.2	2.896666667	4.1
1263	1.7	1.761666667	2.2
1266	1.1	1.275	0.5
1269	1	1.148333333	-1.3
1272	4.2	3.491666667	1.4
1275	4.5	5.188333333	5.3
1278	4.8	5.086666667	4.3
1281	3.5	4.228333333	3.8
1284	3.3	3.941666667	3.8
1287	3.8	4.286666667	3
1290	3.4	4.121666667	2.5
1293	3.1	3.51	2.8
1296	3.6	3.763333333	5.6
1299	4.1	5.195	5
1302	5.5	6.505	3.4
1305	5	5.278333333	2.2
1308	5.7	5.53	2
1311	5.7	5.471666667	1.9
1314	6.2	5.735	1.5
1317	6.8	6.436666667	1.9
1320	9.6	8.306666667	3.5
1323	10.8	10.60833333	3.3
1326	10.8	10.65666667	2
1329	10.9	10.52833333	2.9
1332	11.3	10.76333333	4.4
1335	10.9	10.70333333	5.9
1338	6	7.78	6.4
1341	4.3	5.68	7.2
1344	5.1	5.941666667	7.8
1347	2.8	6.545	12.8
1350	3.4	6.628333333	11.1
1353	1.8	3.773333333	10.5
1356	1.1	2.163333333	10
1359	1.2	1.95	9.9
1362	1	1.733333333	9.3
1365	1.2	1.105	10.3
1368	5.4	4.313333333	12
1371	7.4	7.61	13.4
1374	6.7	6.683333333	11.1
1377	6.1	6.106666667	10.7
1380	7	6.513333333	9.5
1383	7.2	7.243333333	9.3
1386	6.9	6.978333333	7.6
1389	5.8	5.631666667	7.7
1392	7.1	6.831666667	9.4
1395	8.1	7.821666667	10.1
1398	10.8	8.806666667	8.7
1401	7.2	8.283333333	8.2
1404	5.3	6.246666667	6.7
1407	4.3	4.85	4.9
1410	3.8	4.171666667	4.2
1413	2.8	2.758333333	5.1
1416	4.4	4.34	7.5
1419	4	5.286666667	7.9
1422	3.2	6.385	5.6
1425	2.1	3.288333333	2.9
1428	1	1.61	1.2
1431	1.5	1.636666667	0
1434	0.2	1.09	2.6
1437	2.1	2.005	4.4
1440	1	3.266666667	8.1
1443	1.9	2.816666667	8.5
1446	0.9	1.766666667	6.1
1449	0.6	0.866666667	4.7
1452	0.6	0.358333333	0.6
1455	0.2	0.628333333	-0.2
1458	-0.2	0.266666667	2.1
1461	1.6	2.308333333	6.7
1464	4.1	4.296666667	10.4
1467	3.2	3.8	9.7
1470	2.1	3.361666667	6.3
1473	2.2	2.933333333	7.1
1476	1.7	2.315	5.8
1479	2.1	2.94	4.1
1482	1.8	2.318333333	5.2
1485	4.6	4.266666667	8.3
1488	7.7	7.913333333	8.6
1491	7.9	8.965	9.8
1494	7	7.6	6.3
1497	7.1	6.81	5.5
1500	7	6.571666667	7.1
1503	6.8	6.135	8.1
1506	6.7	6.501666667	10.7
1509	8.1	7.388333333	12.1
1512	9.6	9.383333333	13
1515	10.2	10.67833333	12.1
1518	8.1	7.966666667	8.9
1521	7.9	7.73	7.1
1524	8	7.62	6.5
1527	8.9	8.33	10.6
1530	10.9	10.00833333	11.7
1533	11.3	11.46833333	8.1
1536	9.3	9.545	6.9
1539	9.2	9.021666667	4.7
1542	10.1	9.283333333	2.4
1545	9.8	9.386666667	1.5
1548	10	9.59	1.4
1551	11.6	10.665	6.5
1554	12.6	11.84	7.9
1557	13.3	12.27	7.2
1560	12.1	11.95333333	3.3
1563	11.5	10.66333333	3.1
1566	9	9.931666667	2.5
1569	7.2	8.155	3.9
1572	6.4	6.91	5.5
1575	6.9	6.981666667	6.6
1578	6.9	7.711666667	8.4
1581	7.2	8.703333333	7.6
1584	5.4	7.585	7.8
1587	2.8	4.6	6.6
1590	0.7	2.208333333	7.3
1593	4.7	3.865	10.1
1596	5.8	5.233333333	11.4
1599	11	9.166666667	11.9
1602	10.3	10.80833333	12.2
1605	8.4	9.821666667	11
1608	5.6	6.728333333	3.5
1611	4.7	5.188333333	2
1614	3.4	3.631666667	0.4
1617	2.2	2.945	0.2
1620	2.3	2.048333333	3.1
1623	7.6	6.626666667	8.2
1626	9.6	10.17666667	7.7
1629	9	9.623333333	6.9
1632	5.5	7.316666667	3.9
1635	4.1	5.07	3.3
1638	4	3.613333333	2.8
1641	5.5	4.795	2.4
1644	7.8	6.755	5.1
1647	9.3	8.728333333	9.2
1650	9.4	9.541666667	10.1
1653	8.6	10.18666667	9
1656	2.9	6.193333333	7.3
1659	2.2	3.453333333	7
1662	6	4.168333333	6.9
1665	8	7	6.9
1668	10.1	8.46	7.1
1671	6.6	7.725	8
1674	6.2	7.1	6.3
1677	3.8	5.911666667	6.3
1680	1.6	4.016666667	5.1
1683	-1.1	1.836666667	4.2
1686	-1.5	0.745	5.8
1689	5.6	5.635	6.3
1692	8.3	8.721666667	7.3
1695	8.5	10.75833333	5
1698	3.9	7.588333333	4.4
1701	-0.6	4.165	4.4
1704	-2	2.745	5.2
1707	-2.8	1.611666667	4.5
1710	-2.8	0.243333333	5
1713	3.9	3.855	5.6
1716	5.8	6.798333333	5.9
1719	4.6	5.59	6.3
1722	3.5	3.726666667	6.1
1725	4.4	4.48	4.7
1728	4.2	4.695	4.7
1731	2.4	3.935	2.9
1734	2.6	2.578333333	3.9
1737	5.2	4.52	7.1
1740	6.7	6.636666667	4.9
1743	6.1	6.65	4.1
1746	5.2	6.446666667	2.9
1749	4.2	6.375	0.3
1752	3.2	6.705	-0.7
1755	3.9	5.333333333	-0.6
1758	4.4	4.961666667	1.8
1761	6.5	6.99	6.6
1764	7.3	7.738333333	6
1767	6.2	7.421666667	4.8
1770	4.8	5.896666667	2.7
1773	4	5.566666667	1.1
1776	2.7	4.25	0.3
1779	0.9	3.228333333	-2
1782	1.2	2.508333333	0.3
1785	6	5.093333333	6.4
1788	8.1	9.371666667	7.8
1791	7	8.83	6
1794	5.6	7.34	4.4
1797	4.3	6.516666667	4.5
1800	2.3	4.803333333	4.5
1803	-1.1	2.793333333	6.1
1806	-1.6	0.755	7.4
1809	4.2	4.68	9.5
1812	10.4	11.09	10
1815	11.1	12.78666667	9.6
1818	5.8	9.801666667	8.5
1821	1.6	6.371666667	6.7
1824	-0.2	4.116666667	7.7
1827	-1.2	1.921666667	8.8
1830	-0.6	2.275	10.4
1833	9.6	9.096666667	9.8
1836	12.6	13.265	6.9
1839	11.6	13.27166667	5.6
1842	8.3	10.95166667	3.4
1845	6	9.618333333	1.3
1848	6.3	8.246666667	-0.1
1851	7.6	8.366666667	1.1
1854	7.9	8.116666667	2.9
1857	8.7	9.02	4.2
1860	9.5	10.59666667	5.9
1863	9.2	10.22166667	2.6
1866	7.8	8.353333333	1.4
1869	6.3	6.885	0.5
1872	4.2	5.8	1.1
1875	5	6.133333333	1.6
1878	5.3	5.74	3.4
1881	8.4	8.875	5.4
1884	9.6	11.36	6.6
1887	10.7	12.13833333	8.1
1890	6.5	9.685	9.8
1893	2.9	7.325	10.6
1896	2.7	5.666666667	10.6
1899	0.9	4.1	6.9
1902	2.2	2.838333333	6
1905	9.1	8.775	6
1908	10.9	10.96833333	2
1911	10.9	12.95666667	0.3
1914	7.3	8.878333333	0.6
1917	7.7	8.096666667	0.5
1920	7.1	8	0.3
1923	6.1	6.718333333	1.1
1926	5.8	6.256666667	2.7
1929	7.2	10.285	6.8
1932	8.5	11.90666667	7.4
1935	7.9	11.79166667	7.5
1938	4	6.706666667	8.9
1941	2.4	4.825	7
1944	1.6	3.361666667	5.4
1947	0.7	2.643333333	4.6
1950	2	2.84	5.9
1953	6.2	6.08	7
1956	6.7	7.281666667	7.1
1959	6.1	7.223333333	5.1
1962	3.7	5.106666667	3
1965	2.4	3.608333333	1.8
1968	0.5	2.986666667	0.4
1971	-1.4	1.948333333	0.2
1974	4.3	3.53	4.4
1977	7.1	7.906666667	6.4
1980	7.5	8.411666667	3
1983	3.7	5.09	5.2
1986	2.9	3.731666667	8.5
1989	5	4.515	9.1
1992	6.5	5.973333333	8.9
1995	6.3	6.575	9.3
1998	7.3	7.045	10
2001	8.2	8.301666667	8.3
2004	9.1	9.173333333	9.4
2007	7	9.041666667	8.3
2010	4.7	6.438333333	8
2013	4.1	5.105	8
2016	3.9	5.096666667	7.8
2019	3.9	4.438333333	8.2
2022	6.1	5.765	10.4
2025	9.9	10.29166667	9.4
2028	9.9	12.05166667	6.4
2031	9.9	11.44666667	5.3
2034	8.7	9.816666667	4.2
2037	7.5	8.168333333	3.8
2040	9.9	8.67	3.6
2043	11	10.445	2.9
2046	11.4	11.83166667	7.6
2049	10.4	10.83666667	9.7
2052	10.2	11.74	10.7
2055	7.8	8.89	7.6
2058	8	8.39	4.6
2061	7.4	7.506666667	4.6
2064	6.9	7.086666667	4.4
2067	4.4	5.765	4.6
2070	4.7	5.925	6.6
2073	8.3	8.726666667	7.5
2076	8.1	9.016666667	9.5
2079	5.9	7.903333333	10.3
2082	3.7	5.021666667	10.5
2085	2.6	4.446666667	10.5
2088	2.5	3.468333333	10.4
2091	3.3	3.34	10.7
2094	6.5	4.505	12.2
2097	6.7	6.573333333	14
2100	9.6	7.341666667	12.6
2103	10.3	10.41333333	9.8
2106	8.7	9.82	8
2109	7.5	7.671666667	7.7
2112	5.6	6.551666667	8.3
2115	4.6	5.158333333	9.7
2118	4.2	5.755	11.1
2121	5.5	6.351666667	11.3
2124	4.9	7.035	11
